taxnumberprovider,feature_vector,Cluster
77.505.276-7,"57 adjunto cotizacion con detalle del producto. entrega inmediata. 32 paraguas con logo, de acuerdo a las especificaciones en archivo adjunto. 74 revisar solicitud ndeg 800/13/26/59/2023,  que se anexa donde indica cantidades y caracteristicas de lo requerido.|revisar las observaciones del documento adjunto|importante que el oferente debe presentar fotografias de lo ofertado.||| 20 540119	pala de basura plastica unidad| 16 lanyard, porta credencial y llaveros 23 700 maceteros grandes segun adjunto acatar acabalidad lo solicitado, enviar cotizacion formal y carasteristicas de lo solicitado para adjudicar, una vez vez recibida orden de compra plazo de entrega no debe superar los 7 dias corrido 45 caja o resma de laminas termolaminar de 125 micrones tamano carta (100 un) 55 porta-credencial de acrilico transparente / para credenciales tamano tarjeta de credito. visibilidad por un solo lado. con clip giratorio posterior de doble funcion, para presentacion vertical u horizontal. 23 adjunto cotizacion con detalles del producto, fabricacion nacional. 23 saco de arena para contencion de 25 kilos. para entrega a la comunidad y desvio de aguas lluvias en pasajes y calles en temporada invernal. |obs. se usa el codigo de saco de arena para urnas por no existir saco de arena a secas. ",21
77.599.567-K,"24 agua mineral sin gas 500 ml. 24 todos los productos solicitados, todos los productos de las mejores marcas, estrega en 3 dias, detalles en archivo adjunto.  24 galletas de coco 24 vasos plasticos transparentes 200 cc. 12 cajas organizadoras 6 litros  24 celulares smartphone c01 plus 32gb 5,4"" con cargador incluido 18 marcador para pizarra varios colores 24 soporte televisores smart tv brazo tv 14-42, o equivalente, se adjunta imagen de lo solicitado 24 bolsa de mix frutos secos. con fecha de vencimiento posterior a octubre 2023. 24 galletas minis (40 gr). variedad de sabores. con fecha de vencimiento posterior a octubre 2023.",29
77.463.609-9,"56 garantia un ano, despacho 3 dias 54 segun descripcion 63 |disco solido ssd kingston a400 240gb 56 - notebook intel i7 tarjeta de video nvidia rtx 3060, 8 gb de ram, 500gb ssd, windows 11pro|| se solicita enviar propuesta con imagenes y ficha tecnica, para gestionar la evaluacion. (obligatorio) indicar fecha entrega y garantia obligatorio 50 notebook hp i7, ryzen 7, o equivalente  29 ssd kingston a400 480 gb (part number sa400s37/480g) o equivalente segun especificaciones tecnicas adjunta, subir cotizacion | 54 garantia un ano, despacho 3 dias 56 |se requiere imac 24"" m1 8gb ram 512gb ssd 8gpu se solicita enviar propuesta con imagenes y ficha tecnica, para gestionar la evaluacion. (obligatorio) indicar fecha entrega y garantia obligatorio 56 garantia un ano despacho 3 dias 55 macbook air",22
76.159.763-9,"25 leche sabor manjar segun especificaciones archivo adjunto 25 cereal en barra sabor manzana segun especificacionea archivo adjunto 25 cereal en barra sabor chocolate segun especificacionea archivo adjunto 16 agua embotellada 500 ml sin gas  25 cereal en barra sabor manzana segun especificaciones archivo adjunto 34 se cotizan productos solicitados, en cuanto marcas y  capacidad.|no tiene costo de entrega .|entrega 24 horas emitida la orden de compra. 25 agua mineral segun especificaciones archivo adjunto 34 jugo nectar 350ml sabor damasco watts o su equivalente 41 se cotiza lo solicitado|agua mineral individual cachantun. 25 segun especificaciones archivo adjunto",19
76.540.963-2,"10 -	limpiador desengrasante en crema similar a cif.|-	formato 750 ml o similar.|adjuntar obligatoriamente imagen o ficha tecnica del producto ofertado.| 10 -	jabon liquido profesional similar a elite professional|-	formato de 5 litros.|adjuntar obligatoriamente imagen o ficha tecnica del producto ofertado.| 52 lavaloza cleangen dish, concentrado, envase de 5 lts.|mantenedor de pisos cleangen floor apple, concentrado, con bioalcohol.|jabon de manos tensogen lb, jabon hidratante, en envase de 5 lts.|plazo de entrega: 3 dias.|formato:5 lts|se adjuntan f.t. 31 detergente multiuso omo o equivalente industrial o semi industrial removedor de manchas, (formato de 15 kg). 10 -	limpia vidrios |-	formato de 5 litros.|adjuntar obligatoriamente imagen o ficha tecnica del producto ofertado.| 31 detergente en polvo matic de 15 kg., para lavadora tradicional (no industrial). valor de flete debe incluirse dentro del precio del producto. 31 detergente multiuso omo o equivalente industrial o semi industrial removedor de manchas (formato de 15 kg) 10 detergente en polvo biodegradable con control de espuma bolsa 20 kilos 61 detergente industrial exak plus 1 31 emulgen excellence, detergente polvo enzimatico, 100% biodegradable cumpliendo reglamento europeo (ce) 648/2004, fabricado en espana.|indicado para suciedad hospitalaria alta.|envase de 20 kg.|entrega 3 dias.|puesto en sus bodegas.",2
77.716.921-1,"36 agua mineral de 500ml con gas (equivalente a cachantun) 55 contenedor de basura con tapa 360 litros 17 se requiere agua mineral sin gas, en botellas desechables de 500ml|despscho incluido.  46 mayonesa hellman's ligth doypack 950 gramos. 37 panales de 20 unidades- talla g  38 botellas de agua mineral de 500 ml. sin gas 21 comercial monrom 77716921-1|contacto : jorge mondaca.|+56971353123.|mail: comercialmonrom@gmail.com  38 botellas de agua mineral de 500 ml. con gas 12 toner para impresora hp laserjet 1102 21 diclofenaco 50 mg cm",19
76.398.886-4,"44 camara digital canon eos t8i-850d con lente  18-55mm  17  lente zoom de 75-300 mm 56 all in one big ben 27 intel core i7-10700t nvidia gtx 1650 4gb 27""fullhd 8gb|ram 512gb ssd + 1tb windows 10:|especificaciones generales|marca hp|modelo 4c856la#akh o similar|color blanco|especificaciones del procesador|procesador intel|linea procesador intel core i7|modelo procesador 10700t|velocidad procesador hasta 4,5ghz|cantidad nucleos octa core||detalle completo en documento adjunto.  41 lente para camara fotografica nikon; 18-140 mm.; f/ 3.5-5.6; del tipo af-s  dx  nikkor o similar 56 hpsku mkwhi3yrq8all in one hp eliteone 800 g4 i7-8700u 8gb 1tb w10 pro 23,8"" fhd, plazo de entrega 3 dias . 44 mochila porta camara fotografica 41 data proyector con conexion hdmi  55 proyector epson powerlite 118 3lcd 3800 lumenes xga o similar 24 proyector number part v11ha03020. o equivalente||contacto sr. maximiliano lopez 228101750| 41 camara fotografica para fotografia y video, con conectividad wifi; 24.2 mega pixeles, rafaga de 5 disparos continuos de 5 fotos por segundo; iso desde 100-25.600; full hd; del tipo nikon d 3500 o superior.",22
77.714.498-7,"74 cartucho de toner laser original hp 330a negro (5000 paginas aproximadamente) w1330a 34 lasana precocida 360 gr. 75 destacador color amarillo 75 corrector en cinta para escritura en papeleria 36 parche curita adhesivo redondo para vacunacion caja x 100 unidades 29 tinta original hp 21 y hp 22 dos de cada color 36 cotizacion de 30 prendrive para convenio afi, depto social|importante, debe adjuntar cotizacion describiendo las caracteristicas de los productos solicitados en ttr, caso contrario su oferta sera declarada inadmisible. 29 tinta original para impresora l3210 29 tintas original para impresora epson l606 color cyan magenta yellow 2 de cada color 34 salsa blanca ",14
17.979.014-9,"62 se envia valor por lo solicitado contacto esteban quiroga 956288762 26 recarga bidon de agua purificada de 20 litros c/u (ver imagen de referencia adjunta). 10 bajalengua desechable  53 hervidor de agua conforme a caracteristicas en archivo adjunto.| 53 dispensador de alcohol gel o jabon de capacidad de 1lt, caracteristicas segun adjunto. favor al ofertar inlcuir ficha tecnica de producto.  10 tortas de panqueque (naranja, lucuma, manjar y/o chocolate) para 30 personas c/u, 59 10 cajas de 50 unidades de te verde.|| 10 torta de panqueque para 30 personas (naranja, lucuma, manjar y/o chocolate) 62 adquirir 2 tortas panqueque manjar naranja para 30 personas cada una y 10 jugos nectar de 1,5 litros sabor: 5 de durazno y 5 de naranja, conforme a criterios y metodologia de evaluacion adjunto. 10 pan de molde blanco 560 gramos (igual o superior a ideal)",0
77.249.866-7,"35 estimado se cotizo la totalidad de los productos , entrega inmediata luego de la orden de compra 35 pisco 40o similar a mistral anejado en roble. 35 bebida energizante 473 cc. similar a monster sabor original. 40 botella de agua individual  sin gas, formato de 500cc, el valor ofertado debe incluir el despacho hasta la municipalidad de andacollo 35 licor de hiervas 700 cc. similar a jagermaister.  35 whiskey similar a jack daniels ndeg 7 de 750 ml 54 adquisicion de agua mineral con gas formato 600cc, segun archivo adjunto. 54 bebidas 350 cc 35 coctel de vodka pina 275 cc. botellin similar a spirit. 35 cerveza botellin 355 cc. similar a coor.",19
77.250.065-3,"10 bolso de rescate grande color azul electrico con cintas reflectantes material: tela ripstop anti desgarro e impermeable. alto: 35cm ancho: 40cm largo: 60cm 35 muy buenas tardes jessica, adjuntamos nuestra cotizacion por los productos solicitados.|el tiempo de entrega es de 3 a 5 dias habiles.|atte ecompany medical express 40 buenas tardes. adjuntamos nuestra cotizacion por todos los productos solicitados.|entrega inmediata, productos incluyen garantia de distribuidor, productos certificados.|atte ecompany spa | 35 bolso medico trauma plus l segun especificaciones adjuntas 40 bobina papel bilaminado mixto con fuelle termosellable, esterilizacion o similar cantidades de cada tipo 15 unidades|tamano:|-	(100+50) mm x 100 m (prioridad)|-	(75x25) x 100 m|-20|-30 27 bobina de esterilizacion nemo sin fuelle 10 cm x 200 m rollo unidad 35 estimados, adjuntamos fichas tecnicas de los productos solicitados. disponibilidad inmediata.|entrega en 48 hrs habiles.|atte|ecompany  35 aguja hipodermica desechable 19g x 1.5 cono luer (cgu:0307002) 35 aguja hipodermica desechable 18g x 1 cono luer lock (cgu:0307023) 35 buenas tardes claudia, adjuntamos fichas tecnicas y cotizacion por los productos solicitados.|disponibilidad inmediata, entrega en 24/48 hrs.||atte. ecompany ",8
76.403.327-2,"10 kit de limpieza para impresora cotizada  10 segun cotizacion nr. 3226. impresora simple cara. considera todo lo solicitado. garantia 1 ano. 76 segun cotizacion nr. 3227. 12 impresora para credenciales institucionales y kit, segun caracteristicas tecnicas adjuntas o equivalentes|| 10 impresora para impresion de credenciales  22 segun cotizacion nr. 3328. impresora alemana, doble cara. considera ethernet. garantia 3 anos. considera todo lo solitado. 12 segun cotizacion nr. 3267.  10 adquisicion de porta tarjetas / credencial. material: plastico rigido || 76 |tinta impresora de credenciales ymcko ndeg parte 045000 (fargo dtc 1000 color ribbon ) subir fotos || 10 tarjetas pvc cr80.30 para credenciales ",22
76.269.923-0,"83 pano de limpieza naranjo 50x45 cms algodon. 51 entrega 48 horas, se adjunta descripcion de productos. 10 entrega 2 dias. 44 entrega 72 horas, se adjunta descripcion de productos 10 escobillon chico 54 entrega 2 dias, excelente calidad. 83 trapero algodon reutilizable. 10 bolsa papel 2 kilos blanco o cafe 14 entrega 48 horas, productos de excelente calidad 14 palas plasticas para basura",20
18.485.748-0,"25 entrega en p. las casas - 05 dias 40 guantes de nitrilo con puno tejido azul  31 discos ssd internos 500 gb, 2.5 "" 27 guantes de cabritilla puno corto calce mediano, especificar claramente lo que oferta y plazo de entrega. puesto en piso talleres municipales.| 40 mascarilla masprot o similar con 2 filtros para gases y polvo l= 6 unidades m: 3 unidades 40 kit de emergencia obligatorio para vehiculos ""triangulo, botiquin, extintor de 2 kilos tipo polvo quimico abc y chaleco reflectante"" 40 bisagras de 2 pulgadas 40 kit de emergencia obligatorio para vehiculos ""triangulo, botiquin, extintor de 1 kilo tipo polvo quimico abc y chaleco reflectante""| 14 llave  35 bandeja rack 19""para gabinete fondo 1000mm.",10
77.100.749-k,29 vino medalla real cabernet sauvignon 750cc 29 vino gran tarapaca cabernet sauvignon 750cc 29 bebida coca cola light botella 3 litros desechable 29 queso rallado reggianito sachet 40grs 29 cel 984199153 29 vino carmen rhin 750cc 29 bebida lata 350 cc sprite zero 29 bitter rossard 750 cc 29 cerveza austral lager botella 330cc 11 arroz pregraniado formato de kilo miraflores,26
77.244.674-8,"22 cartucho de tinta hp 950 negro 22 teclado mecanico tipo k835 tkl logitech 22 disco duro pc 2 tb  24 corftinas roller para cesfam colon, diferentes medidas de acuerdo a archivo adjunto 22 se deja adjunta cotizacion.  38 horno microondas de 25 litros 22 pendrive 64gb usb 2.0 32 se deja adjunta cotizacion de los articulos solicitados, en caso de tener dudas o requerimientos de la descripcion del producto solicitado puede enviar al siguiente correo pmedina@cmvinsigne.cl saludos cordiales. 32 microondas 20 ltrs. de 25,5x43x34cm. de 700watts potencia,  peso11,7kg, material acero inoxidable 38 compra de tintas originales para impresora canon 3 botellas |1.- g1- 16bk|1.- g1 - 16 c|1.- g1 - 16 y|",17
77.275.933-9,"50 (1 unid) lampara led 5 patas con ruedas, (1 unid) balanza pediatrica seca 725 o equivalente, (1 unid) camilla ginecologica 180 largo x 80 alto x 65 ancho (+/-10) y (1 unid) balanza tallimetro adulto. segun especificaciones tecnicas adjuntas. importante: es obligatorio ingresar cotizacion con detalle de los productos, ficha tecnica de cada producto, indicar garantia, plazo de entrega en dias habiles y despacho incluido valor con iva total, de lo contrario no seran evaluados. 10 camilla examen 11 elevaciones, bariatrica.-|entrega en 24 hrs|contacto@mundomedica.cl 10 adq biombo tres cuerpos, adjuntar ficha tecnica, cotizar por unidad e incluir fotografia del producto, indicar factor de empaque, indicar plazo de entrega, precio debe considerar flete, se adjunta imagen de referencia. 24 |adquisicion de camilla de examinacion - se adjunta formato detallado con caracteristicas, subir cotizacion, ficha tecnica e indicar plazo de entrega. 10 40-002-520-201-00	camilla clinica de examen| 50 (1 unid) camilla ginecologica profesional 180 largo x 80 alto x 65 ancho (+/-10), relleno espuma cubierta en tela simil cuero, lavable, pierneras regulables incluir porta rollos y bandeja de acero inoxidable para recoleccion de residuos en cuerpo medio, garantia minima 36 meses, para cesfam santa rosa. segun especificaciones tecnicas adjuntas. es requisito obligatorio ingresar cotizacion con detalle de los productos, indicar plazo de entrega en dias habiles y despacho incluido iva en valor total 23 disponibilidad de envio, inmediata.|contacto: info@mundomedica.cl 23 escabel segun especificaciones tecnicas adjuntas. 50 (1 unid) lampara de examen medico, brazo ajustable y flexible 70cm (+/- 15cm), 5 luz led 5000 horas, control intensidad luz, base estrella con ruedas giratorias, garantia minima 12meses, para cesfam santa rosa. segun especificaciones tecnicas adjuntas. importante: es requisito obligatorio ingresar cotizacion con detalle de los productos, indicar plazo de entrega en dias habiles y despacho incluido iva en valor total, de lo contrario no seran evaluados. 52 despacho inlcuido|contacto@mundomdica.cl|patricio ferrari ?+56 9 3566 8066?|1 ano garantia|entrega 24 horas",3
77.283.834-4,"55 guantes hyflex talla 6 27 shampoo para auto de 1 litro 55 mascarillas kn95 61 * insumos y/o productos puestos en piso de bodega del cliente. -|* sin costo flete |* plazo de entrega: 24 a 48 hrs.-|* celular de contacto al +56971864091.-| 27 pack de panos de microfibra para limpieza 55 guantes hyflex talla 10. 69 compra de embutidos, se adjunta detalle de los productos y sus respectivas caracteristicas en anexo de compra  56 silla de escritorio happy negro one sit| 10 sandias 10 jabon liquido softcare sterylderme (o su equivalente) ",10
77.094.022-2,22 |adquisicion de confites y aguas 10 |adquisicion de insumos de cafeteria para reunion encargados y operadores oirs 10 1 kilo de azucar 10 1 sachet de azucar x 5 gramos  ( ver archivo adjunto ) 22 galletas triton de vainilla o semejante 29 cucharitas para cafe de preferencia acero inoxidable 10 5 botellas de jugos de 1 1/2 litros variedad de sabores watt o similar 22 pan para albergue municipal ercilla 1430 29 cocinilla a gas 2 platos para  cocina internado(se adjuntan requerimientos) 10 1 caja de nescafe sachet de 96 unidades,29
76.676.820-2,"12 silla link|marca idetex|altura ajustable|brazos fijos|estructura pu|relleno espuma alta densidad|tapiz textil, maya en respaldo|color negro|se adjunta oferta economica, especificaciones tecnicas e imagenes|entrega gratuita 2 dias habiles siguientes oc 70 silla ergonometrica negra con brazos, con despacho incluido a profesor carlos porte ndeg 23, santiago 27 bergere negro - tapiz sintetico 21 silla ejecutiva |*	medidas aprox: (110-120cm) alto x 65 cm ancho x 70 cm  profundidad total|*	asiento y respaldo tapizado en cuero pu|*	brazos fijos con acolchado tapizado en cuero pu.|*	base estrella con ruedas de desplazamiento |*	mecanismo reclinable con palanca de regulacion de altura|||||||| 27 silla ergonomica link|regulacion de altura, cilindro de gas|tapiz negro, respaldo tipo malla|brazos fijos en polipropileno|mecanismo sincronico|apoyo lumbar ergonomico reforzado|base cromada, 5 ruedas de nylon 5 cm|peso soportado 120 kg. max.| 27 silla escritorio tipo c *adjuntar imagen, y descripcion de producto ofertado (se adjunta imagen referencial) 12 sillas de color negro basica. debe ser similar al modelo adjunto en el archivo con nombre ""9 sillas de escritorio"".||caracteristicas:|altura total: 85,5-98|ancho: 60.5|profundidad: 57|respaldo reclinable: no|nivelacion de altura: si||material del relleno: espuma|material del tapiz: cuero| 34 silla de escritorio  51 sillas de escritorio de material de malla color negro con apoya brazos y reposa espalda  tipo favatex ancho 59cm, alto 119cm, profundida 65cm relleno espuma, material del tapiz poliester 27 berger reclinable|modelo olimpo|marca idetex|ecocuero pu|colores disponibles negro y cafe|se adjunta oferta economica, especificaciones tecnicas e imagenes|entrega gratuita 2 dias habiles siguiente a recepcion de oc|",3
9.015.462-1,"10 pizarras acrilicas pequenas, medidas 20x30 cm (adjunto foto referencial) 22 canasta completa, despacho a domicilio sin costo adicional, entrega en 1 dia habil despues una vez aceptada la orden de compra, adjuntamos cotizacion interna 22 1.	marcador fino negro igual o similar a sharpie 22 despacho a domicilio sin costo adicional, entrega en 1 dia una vez aceptada la orden de compra , productos de la mejor calidad. 22 entrega con despacho a domicilio sin costo adicional,canasta completa los mejores productos, entrega 3 dias habiles una vez aceptada la orden de compra. 22 1.	carpeta goma eva surtida x 10 22 8.	carpeta goma eva glitter c/ diseno x 6 22 se cotiza canasta completa,despacho a domicilio sin costo adicional , entrega de mercaderia en 1 dia habil una vez aceptada la orden de compra, 22 plumon pizarra  negro igual o similar a faber 22 6.	carpeta espanola x 10 27x37",16
77.061.181-4,"14 cono vial  90cm  40 confeccion de 34 letrero  segun especificaciones adjuntas 41 placa aluminio compuesto 4mm, adhesivo reflectivo grado ingenieria|poste omega galvanizado con fijaciones 30 pendon roller pvc con bolso de transporte tamano 100 cm de ancho x 200 cm de alto 14 segun cotizacion adjunta 51 letrero rectangular tamano 0,80 x 1,20 mt fabricado en aluminio comp. de 4 mm con textos en vinilo adhesivo en plotter de corte con el texto "" no pasar propiedad provada"" mas detalle en archivo adjunto 21 letreros acrilicos jefaturas institucionales,  de 30*20 cm, de acuerdo a requisitos y especificaciones establecidas en documento adjunto 21 letreros acrilicos departamento institucionales,  de 40*30 cm, de acuerdo a requisitos y especificaciones establecidas en documento adjunto 14 barra extensible de pvc para conos de seguridad largo sin extender: 110 cm largo extendido: 210 cm 25 |compra e instalacion de letrero para estacionamiento de discapacitados se adjunta imagen",21
96.582.310-7,"21 inmunoglobulina anti- rho (d) solucion inyectable 0,25 - 0,3 mg frasco ampolla / jrp, vencimiento superior a 14 meses, adjuntar ficha tecnica e indicar registro isp vigente. 49 papel termico blanco cod 550821, caja x 6 rollos 16 100000815  gamaglobulina anti- rho (d) fa 300 mcg solucion inyectable 2 ml  52 bolsa 500 ml con equipo, despacho parcializado, primer despacho 250 10 10 inmunoglobulina humana anti-d / anti-hr / anti-rho 300 ug/2ml - solucion inyectable|valor debe incluir despacho a domicilio|debe indicar fecha de vencimiento|adjuntar cotizacion e imagen del medicamento| 10 inmunoglobulina humana antirho 21 igamad 300 ug/2 ml. (1500 ui) inmunoglobulina humana anti-d (rh), 300 ug/2ml., solucion inyectable i.m. en jeringa precargada. despacho incluido.  sin monto minimo de despacho.  oferta 3125062| 10 inmunoglobulina humana anti-d / anti rh / anti rho 300 ug/2ml inyectable.|| 21 caja de 6 rollos papel celofan ambar sargent 2"" 548 m 21 caja de 6 rollos papel termico sargent 2"" 900 lft",28
76.679.060-7,"29 lijas tubular  25 estimada srta. macarena: ofertamos set de insumos para programa vinculo, segun anexo adjunto. entrega en 2 dias habiles en dependencias municipales en la comuna de con con. validez de la oferta, 30 dias. atentos saludos, whimsies ltda. 62 vaso plastico para pinceles 10 kit regalo dia de la mujer|| 33 pila duracell tamano aaa 22 lapices de colores caja de 12 unidades 25 libros sopa de letras  25 libros para colorear mandalas 29 medida 5x5. colores|aleatorios. 29 discos de lija 2,5 cm",17
76.682.131-6,"55 balones de futbol 30 tallimetro portatil mecanico (marca de referencia modelo 213 seca) 23 toner original modelo 19a 55 balones de futsal 30 |adq. de implementacion deportiva colegio mach - sep 34 switch kvm dos pcs 27 cd y sobres cd 23 toner original  30 balon de futsal ndeg4 (marca de referencia train) 38 pack de 04 tintas epson t941. (cyan, magenta, amarillo, negro) para impresorta epson wf-c579r",17
76.441.241-9,90 repuesto cuchillo cartonero grandes paquete 10 ud 31 carpeta rhein fast carta 79 separador oficio carton 6 divisiones  16 se adjunta excel con detalles. se deja correo contacto@weserve.cl|saludos  32 estimados envio cotizacion de lista de productos de articulos de escritorios. les dejo el excel con la cotizacion |saludos cordiales  31 corchetera oficina  79 funda oficio 100unidades 90 corchete 26/6 5000 ud  se adjunta archivo con imagenes referenciales igual o similar 32 carpeta plastica oficio| 16 carpeta cartulina plastificada oficio roja.,9
